pick_no,round_no,team_drafted_id,team_draft_user_name,picked_by,player_id,player_name,player_position,player_exp
1,1,740422713507807232,drdadbod,Comish11,4034,Christian McCaffrey,RB,4
2,1,203653162899349504,FantasyGOATx3,FantasyGOATx3,3164,Ezekiel Elliott,RB,5
3,1,471494369451438080,DeMo5,Comish11,2133,Davante Adams,WR,7
4,1,471492069110575104,willydawg71088,autopick,4199,Aaron Jones,RB,4
5,1,461346738695827456,Nserrrr,Comish11,3321,Tyreek Hill,WR,5
6,1,601879432004694016,mikeoc2891,Comish11,4035,Alvin Kamara,RB,4
7,1,470085298420707328,Comish11,Comish11,4988,Nick Chubb,RB,3
8,1,601795389573627904,tink2020,Comish11,4029,Dalvin Cook,RB,4
9,1,605551105107124224,GolasoKing,GolasoKing,7528,Najee Harris,RB,0
10,1,739690998808096768,provolove69,Comish11,1466,Travis Kelce,TE,8
11,2,739690998808096768,provolove69,Comish11,6813,Jonathan Taylor,RB,1
12,2,605551105107124224,GolasoKing,GolasoKing,2505,Darren Waller,TE,6
13,2,601795389573627904,tink2020,tink2020,4866,Saquon Barkley,RB,3
14,2,470085298420707328,Comish11,Comish11,4046,Patrick Mahomes,QB,4
15,2,601879432004694016,mikeoc2891,mikeoc2891,4217,George Kittle,TE,4
16,2,461346738695827456,Nserrrr,autopick,4018,Joe Mixon,RB,4
17,2,471492069110575104,willydawg71088,autopick,6820,Clyde Edwards-Helaire,RB,1
18,2,471494369451438080,DeMo5,Comish11,1426,DeAndre Hopkins,WR,8
19,2,203653162899349504,FantasyGOATx3,FantasyGOATx3,4273,Chris Carson,RB,4
20,2,740422713507807232,drdadbod,drdadbod,1992,Allen Robinson,WR,7
21,3,740422713507807232,drdadbod,drdadbod,1234,Russell Wilson,QB,9
22,3,203653162899349504,FantasyGOATx3,autopick,5927,Terry McLaurin,WR,2
23,3,471494369451438080,DeMo5,DeMo5,6151,Miles Sanders,RB,2
24,3,471492069110575104,willydawg71088,autopick,5850,Josh Jacobs,RB,2
25,3,461346738695827456,Nserrrr,Comish11,2216,Mike Evans,WR,7
26,3,601879432004694016,mikeoc2891,mikeoc2891,6786,CeeDee Lamb,WR,1
27,3,470085298420707328,Comish11,Comish11,1352,Robert Woods,WR,8
28,3,601795389573627904,tink2020,tink2020,2309,Amari Cooper,WR,6
29,3,605551105107124224,GolasoKing,GolasoKing,4037,Chris Godwin,WR,4
30,3,739690998808096768,provolove69,Comish11,4983,D.J. Moore,WR,3
31,4,739690998808096768,provolove69,Comish11,947,Julio Jones,WR,10
32,4,605551105107124224,GolasoKing,GolasoKing,4039,Cooper Kupp,WR,4
33,4,601795389573627904,tink2020,tink2020,7553,Kyle Pitts,TE,0
34,4,470085298420707328,Comish11,Comish11,5846,DK Metcalf,WR,2
35,4,601879432004694016,mikeoc2891,mikeoc2891,5980,Myles Gaskin,RB,2
36,4,461346738695827456,Nserrrr,Comish11,4981,Calvin Ridley,WR,3
37,4,471492069110575104,willydawg71088,Comish11,5859,A.J. Brown,WR,2
38,4,471494369451438080,DeMo5,DeMo5,5012,Mark Andrews,TE,3
