"name","id","teams","starts","benched"
"Nick Chubb",3128720,"1",10,4
"Patrick Mahomes",3139477,"1",13,1
"Robert Woods",15880,"1",7,2
"DK Metcalf",4047650,"1,8",13,1
"Keenan Allen",15818,"1,8",11,3
"T.J. Hockenson",4036133,"1",12,2
"Ronald Jones II",3912550,"1,10",2,5
"Michael Carter",4240657,"1,3",4,10
"Deebo Samuel",3126486,"1",10,4
"Antonio Brown",13934,"1",4,9
"Michael Pittman Jr.",4035687,"1",6,8
"Alexander Mattison",4048244,"1",3,11
"Marquez Callaway",4035170,"1,9",1,8
"Ravens D/ST",-16033,"1,6,7,8",6,0
"Tony Jones Jr.",4046676,"1",1,4
"Tevin Coleman",2979477,"1,5",1,2
"Davante Adams",16800,"2",12,2
"DeAndre Hopkins",15795,"2",10,4
"Miles Sanders",4045163,"2",9,5
"Mark Andrews",3116365,"2",13,1
"Kareem Hunt",3059915,"2",6,8
"Aaron Rodgers",8439,"2",12,2
"Raheem Mostert",2576414,"2",1,0
"AJ Dillon",4239934,"2",7,7
"Rondale Moore",4372485,"2",10,4
"Justin Fields",4362887,"2",1,11
"William Fuller V",3052876,"2",1,13
"Michael Gallup",4036348,"2,1,8",2,7
"Marvin Jones Jr.",15072,"2",12,2
"Ty'Son Williams",3895827,"2",3,11
"Commanders D/ST",-16028,"2",12,2
"Tua Tagovailoa",4241479,"2,1",0,4
"Dalvin Cook",3116593,"3",9,5
"Saquon Barkley",3929630,"3",8,6
"Amari Cooper",2976499,"3",11,3
"Kyle Pitts",4360248,"3",13,1
"Stefon Diggs",2976212,"3",13,1
"Darrell Henderson Jr.",4039359,"3",10,4
"Kenny Golladay",2974858,"3",3,8
"JuJu Smith-Schuster",3120348,"3",4,1
"Zack Moss",4035676,"3",5,7
"Matthew Stafford",12483,"3",13,1
"Darnell Mooney",4040655,"3,10,7",6,6
"Tyler Higbee",2573401,"3,8",6,7
"Henry Ruggs III",4241475,"3",1,7
"Latavius Murray",15920,"3",1,8
"Patriots D/ST",-16017,"3",7,7
"Jameis Winston",2969939,"3",0,3
"Najee Harris",4241457,"4",13,1
"Darren Waller",2576925,"4",10,4
"Chris Godwin",3116165,"4",13,1
"Cooper Kupp",2977187,"4",13,1
"Mike Davis",3025433,"4",3,9
"David Montgomery",4035538,"4",8,6
"Kyler Murray",3917315,"4",8,6
"Odell Beckham Jr.",16733,"4,10",4,10
"DeVonta Smith",4241478,"4,10",6,8
"Leonard Fournette",3115364,"4",11,3
"Dallas Goedert",3121023,"4,5",4,10
"Mike Williams",3045138,"4",11,3
"Russell Gage",3115378,"4,9",1,2
"Tom Brady",2330,"4",5,9
"Panthers D/ST",-16029,"4,9",10,3
"Tyrell Williams",2587819,"4",0,1
"Christian McCaffrey",3117251,"5",7,7
"Allen Robinson II",16799,"5,10",5,6
"Russell Wilson",14881,"5,10",7,6
"Rob Gronkowski",13229,"5",8,6
"Derrick Henry",3043078,"5,7",8,6
"Chase Claypool",4046692,"5",11,3
"Chase Edmonds",3119195,"5,4",9,2
"Jalen Hurts",4040715,"5",6,8
"Steelers D/ST",-16023,"5,8",8,0
"Brandin Cooks",16731,"5",10,4
"Jamaal Williams",2980453,"5,9",1,12
"Mecole Hardman",4035004,"5,3,10",1,6
"Marquise Brown",4241372,"5",9,5
"Mike Gesicki",3116164,"5",6,8
"Rhamondre Stevenson",4569173,"5,8",2,8
"Justin Jefferson",4262921,"5",13,1
"Ezekiel Elliott",3051392,"6",13,1
"Chris Carson",3919596,"6",4,6
"Terry McLaurin",3121422,"6",13,1
"Dak Prescott",2577417,"6",12,2
"Tyler Lockett",2577327,"6",11,3
"D'Andre Swift",4259545,"6",10,4
"Tee Higgins",4239993,"6",8,6
"Courtland Sutton",3128429,"6",5,7
"Robby Anderson",2574808,"6",1,7
"Nyheim Hines",3916430,"6,7",0,12
"Corey Davis",3042778,"6",1,12
"Robert Tonyan",2975674,"6,4",5,1
"Trevor Lawrence",4360310,"6",0,4
"Rams D/ST",-16014,"6,10",8,4
"James Robinson",4052042,"6",10,4
"Devonta Freeman",16944,"6",2,7
"Travis Kelce",15847,"7",13,1
"Jonathan Taylor",4242335,"7",13,1
"DJ Moore",3915416,"7",13,1
"Julio Jones",13982,"7,1",5,6
"Javonte Williams",4361579,"7",9,5
"Melvin Gordon III",2576434,"7",11,3
"Tyler Boyd",3045144,"7,3,10,9",8,2
"James Conner",3045147,"7",7,7
"Josh Allen",3918298,"7",13,1
