"name","id","teams","starts","benched","drafted_round","sleeper_id"
"Nick Chubb",3128720,"Big Nick Energy",10,4,1,"4988"
"Patrick Mahomes",3139477,"Big Nick Energy",13,1,2,"4046"
"Robert Woods",15880,"Big Nick Energy",7,2,3,"1352"
"DK Metcalf",4047650,"Big Nick Energy,La La Land",13,1,4,"5846"
"Keenan Allen",15818,"Big Nick Energy,La La Land",11,3,5,"1479"
"T.J. Hockenson",4036133,"Big Nick Energy",12,2,6,"5844"
"Ronald Jones II",3912550,"Big Nick Energy,The Tiger  King",2,5,0,"0000"
"Michael Carter",4240657,"Big Nick Energy,fore PLAY",4,10,8,"7607"
"Deebo Samuel",3126486,"Big Nick Energy",10,4,9,"5872"
"Antonio Brown",13934,"Big Nick Energy",4,9,10,"536"
"Michael Pittman Jr.",4035687,"Big Nick Energy",6,8,0,"0000"
"Alexander Mattison",4048244,"Big Nick Energy",3,11,12,"5987"
"Marquez Callaway",4035170,"Big Nick Energy,Game of Jones",1,8,13,"6989"
"Ravens D/ST",-16033,"Big Nick Energy,Freiermuth Gong Show,I Kelce Clearly Now,La La Land",6,0,0,"0000"
"Tony Jones Jr.",4046676,"Big Nick Energy",1,4,0,"0000"
"Tevin Coleman",2979477,"Big Nick Energy,Hurts So Good",1,2,0,"0000"
"Davante Adams",16800,"St Charles 69ers",12,2,1,"2133"
"DeAndre Hopkins",15795,"St Charles 69ers",10,4,2,"1426"
"Miles Sanders",4045163,"St Charles 69ers",9,5,3,"6151"
"Mark Andrews",3116365,"St Charles 69ers",13,1,4,"5012"
"Kareem Hunt",3059915,"St Charles 69ers",6,8,5,"4098"
"Aaron Rodgers",8439,"St Charles 69ers",12,2,6,"96"
"Raheem Mostert",2576414,"St Charles 69ers",1,0,7,"2749"
"AJ Dillon",4239934,"St Charles 69ers",7,7,0,"0000"
"Rondale Moore",4372485,"St Charles 69ers",10,4,9,"7601"
"Justin Fields",4362887,"St Charles 69ers",1,11,10,"7591"
"William Fuller V",3052876,"St Charles 69ers",1,13,0,"0000"
"Michael Gallup",4036348,"St Charles 69ers,Big Nick Energy,La La Land",2,7,12,"5038"
"Marvin Jones Jr.",15072,"St Charles 69ers",12,2,0,"0000"
"Ty'Son Williams",3895827,"St Charles 69ers",3,11,14,"7098"
"Commanders D/ST",-16028,"St Charles 69ers",12,2,0,"0000"
"Tua Tagovailoa",4241479,"St Charles 69ers,Big Nick Energy",0,4,16,"6768"
"Dalvin Cook",3116593,"fore PLAY",9,5,1,"4029"
"Saquon Barkley",3929630,"fore PLAY",8,6,2,"4866"
