"pick_no","round_no","team_drafted_id","team_draft_user_name","picked_by","player_id","player_name","player_position","player_exp"
1,1,"740422713507807232","drdadbod","Comish11","4034","Christian McCaffrey","RB","5"
2,1,"601879432004694016","mikeoc2891","mikeoc2891","4046","Patrick Mahomes","QB","5"
3,1,"203653162899349504","FantasyGOATx3","FantasyGOATx3","4881","Lamar Jackson","QB","4"
4,1,"601795389573627904","tink2020","tink2020","4663","Austin Ekeler","RB","5"
5,1,"461346738695827456","Nserrrr","Nserrrr","5849","Kyler Murray","QB","3"
6,1,"471494369451438080","DeMo5","DeMo5","6904","Jalen Hurts","QB","2"
7,1,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","7528","Najee Harris","RB","1"
8,1,"739690998808096768","provolove69","provolove69","3198","Derrick Henry","RB","6"
9,1,"470085298420707328","Comish11","Comish11","1234","Russell Wilson","QB","10"
10,1,"471492069110575104","willydawg71088","Comish11","4199","Aaron Jones","RB","5"
11,2,"471492069110575104","willydawg71088","willydawg71088","3294","Dak Prescott","QB","6"
12,2,"470085298420707328","Comish11","Comish11","4029","Dalvin Cook","RB","5"
13,2,"739690998808096768","provolove69","Comish11","6813","Jonathan Taylor","RB","2"
14,2,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","7610","Trey Lance","QB","1"
15,2,"471494369451438080","DeMo5","DeMo5","2449","Stefon Diggs","WR","7"
16,2,"461346738695827456","Nserrrr","Nserrrr","6786","CeeDee Lamb","WR","2"
17,2,"601795389573627904","tink2020","tink2020","4018","Joe Mixon","RB","5"
18,2,"203653162899349504","FantasyGOATx3","FantasyGOATx3","2133","Davante Adams","WR","8"
19,2,"601879432004694016","mikeoc2891","mikeoc2891","1466","Travis Kelce","TE","9"
20,2,"740422713507807232","drdadbod","drdadbod","96","Aaron Rodgers","QB","17"
21,3,"740422713507807232","drdadbod","drdadbod","4988","Nick Chubb","RB","4"
22,3,"601879432004694016","mikeoc2891","mikeoc2891","4866","Saquon Barkley","RB","4"
23,3,"203653162899349504","FantasyGOATx3","FantasyGOATx3","4035","Alvin Kamara","RB","5"
24,3,"601795389573627904","tink2020","tink2020","2028","Derek Carr","QB","8"
25,3,"461346738695827456","Nserrrr","Comish11","2216","Mike Evans","WR","8"
26,3,"471494369451438080","DeMo5","DeMo5","3321","Tyreek Hill","WR","6"
27,3,"471470166262149120","GolasoKingSeabass","GolasoKingSeabass","5012","Mark Andrews","TE","4"
28,3,"739690998808096768","provolove69","provolove69","1479","Keenan Allen","WR","9"
29,3,"470085298420707328","Comish11","Comish11","5859","A.J. Brown","WR","3"
30,3,"471492069110575104","willydawg71088","willydawg71088","7588","Javonte Williams","RB","1"
31,4,"471492069110575104","willydawg71088","willydawg71088","3969","Leonard Fournette","RB","5"
32,4,"470085298420707328","Comish11","Comish11","7591","Justin Fields","QB","1"
33,4,"739690998808096768","provolove69","provolove69","7553","Kyle Pitts","TE","1"
