"name","id","active_rosters","drafted_by","position","years_exp","starts","benched","total_points","started_points","drafted_round","sleeper_id"
"Russell Wilson",14881,"Let Russ Cook Deebo's Nutz,The Tiger  King,For Trevor And Ever Amon,Cooks in the kitchen ","Comish11","QB",10,8,5,160.64,124.14,1,"1234"
"Dalvin Cook",3116593,"Let Russ Cook Deebo's Nutz","Comish11","RB",5,13,1,176.5,176.5,2,"4029"
"A.J. Brown",4047646,"Let Russ Cook Deebo's Nutz","Comish11","WR",3,13,1,190.5,190.5,3,"5859"
"Justin Fields",4362887,"Let Russ Cook Deebo's Nutz,Rainbow sHERBERT","Comish11","QB",1,6,5,195.8,151.18,4,"7591"
"Courtland Sutton",3128429,"Let Russ Cook Deebo's Nutz","Comish11","WR",4,5,8,101.3,47.3,5,"5045"
"Elijah Mitchell",4241555,"Let Russ Cook Deebo's Nutz,Slant Boys For Life","Comish11","RB",1,1,2,15.3,4.1,6,"7561"
"Dalton Schultz",3117256,"Let Russ Cook Deebo's Nutz","Comish11","TE",4,10,4,79.5,79.5,7,"5001"
"Clyde Edwards-Helaire",4242214,"Let Russ Cook Deebo's Nutz","Comish11","RB",2,5,4,88.9,43.7,8,"6820"
"Deebo Samuel",3126486,"Let Russ Cook Deebo's Nutz","Comish11","WR",3,9,5,137,96.3,9,"5872"
"Devin Singletary",4040761,"Let Russ Cook Deebo's Nutz","Comish11","RB",3,4,10,129.2,31.7,10,"6130"
"Michael Pittman Jr.",4035687,"Let Russ Cook Deebo's Nutz","Comish11","WR",2,5,9,123.5,60.8,11,"6819"
"Alexander Mattison",4048244,"Let Russ Cook Deebo's Nutz","Comish11","RB",3,0,14,55.6,0,12,"5987"
"Isiah Pacheco",4361529,"Let Russ Cook Deebo's Nutz,La La Land","Comish11","RB",0,1,7,68.9,10.7,15,"8205"
"Colts D/ST",-16011,"Let Russ Cook Deebo's Nutz,Slant Boys For Life,Golaso King Seabass","Comish11","D/ST",0,5,0,32,32,16,"IND"
"Romeo Doubs",4361432,"Let Russ Cook Deebo's Nutz,For Trevor And Ever Amon,La La Land","NA","WR",-1,3,4,43,19.7,0,"0000"
"Marcus Mariota",2576980,"Let Russ Cook Deebo's Nutz","GolasoKingSeabass","QB",7,11,2,196.56,165.14,13,"2307"
"Jalen Hurts",4040715,"St Charles 69ers","DeMo5","QB",2,13,1,334.88,334.88,1,"6904"
"Stefon Diggs",2976212,"St Charles 69ers","DeMo5","WR",7,13,1,230.9,230.9,2,"2449"
"Tyreek Hill",3116406,"St Charles 69ers","DeMo5","WR",6,13,1,241,241,3,"3321"
"Tee Higgins",4239993,"St Charles 69ers","DeMo5","WR",2,12,2,146.1,138.4,4,"6801"
"Tua Tagovailoa",4241479,"St Charles 69ers","DeMo5","QB",2,11,3,202.46,202.46,5,"6768"
